pa2-c-output-1.txt
EM pivot post est position: 188.147626887,	208.845915227,	200.521762183
Optical pivot post est position: 396.398892228,	407.045493381,	-2797.29232242
337.393,   443.358,   457.29,   
339.143,   446.733,   582.29,   
340.893,   450.108,   707.29,   
338.268,   568.358,   453.915,   
340.018,   571.733,   578.915,   
341.768,   575.108,   703.915,   
94.811,   351.737,   600.408,   
95.936,   351.362,   725.408,   
97.061,   350.987,   850.408,   
96.186,   476.737,   600.783,   
97.311,   476.362,   725.783,   
98.436,   475.987,   850.783,   
97.561,   601.737,   601.158,   
98.686,   601.362,   726.158,   
99.811,   600.987,   851.158,   
219.811,   350.362,   599.158,   
220.936,   349.987,   724.158,   
222.061,   349.612,   849.158,   
221.186,   475.362,   599.533,   
222.311,   474.987,   724.533,   
223.436,   474.612,   849.533,   
222.561,   600.362,   599.908,   
223.686,   599.987,   724.908,   
224.811,   599.612,   849.908,   
344.811,   348.987,   597.908,   
345.936,   348.612,   722.908,   
347.061,   348.237,   847.908,   
346.186,   473.987,   598.283,   
347.311,   473.612,   723.283,   
348.436,   473.237,   848.283,   
347.561,   598.987,   598.658,   
348.686,   598.612,   723.658,   
349.811,   598.237,   848.658,   
115.469,   480.488,   103.495,   
113.844,   480.113,   228.495,   
112.219,   479.738,   353.495,   
114.969,   605.488,   103.87,   
113.344,   605.113,   228.87,   
111.719,   604.738,   353.87,   
114.469,   730.488,   104.245,   
112.844,   730.113,   229.245,   
111.219,   729.738,   354.245,   
240.469,   480.988,   105.12,   
238.844,   480.613,   230.12,   
237.219,   480.238,   355.12,   
239.969,   605.988,   105.495,   
238.344,   605.613,   230.495,   
236.719,   605.238,   355.495,   
239.469,   730.988,   105.87,   
237.844,   730.613,   230.87,   
236.219,   730.238,   355.87,   
365.469,   481.488,   106.745,   
363.844,   481.113,   231.745,   
362.219,   480.738,   356.745,   
364.969,   606.488,   107.12,   
363.344,   606.113,   232.12,   
361.719,   605.738,   357.12,   
364.469,   731.488,   107.495,   
362.844,   731.113,   232.495,   
361.219,   730.738,   357.495,   
108.234,   479.686,   227.935,   
108.609,   479.061,   352.935,   
108.984,   478.436,   477.935,   
111.234,   604.686,   228.56,   
111.609,   604.061,   353.56,   
111.984,   603.436,   478.56,   
114.234,   729.686,   229.185,   
114.609,   729.061,   354.185,   
114.984,   728.436,   479.185,   
233.234,   476.686,   227.56,   
233.609,   476.061,   352.56,   
233.984,   475.436,   477.56,   
236.234,   601.686,   228.185,   
236.609,   601.061,   353.185,   
236.984,   600.436,   478.185,   
239.234,   726.686,   228.81,   
239.609,   726.061,   353.81,   
239.984,   725.436,   478.81,   
358.234,   473.686,   227.185,   
358.609,   473.061,   352.185,   
358.984,   472.436,   477.185,   
361.234,   598.686,   227.81,   
361.609,   598.061,   352.81,   
361.984,   597.436,   477.81,   
364.234,   723.686,   228.435,   
364.609,   723.061,   353.435,   
364.984,   722.436,   478.435,   
64.579,   477.274,   346.652,   
67.829,   477.399,   471.652,   
71.079,   477.524,   596.652,   
62.704,   602.274,   346.652,   
65.954,   602.399,   471.652,   
69.204,   602.524,   596.652,   
60.829,   727.274,   346.652,   
64.079,   727.399,   471.652,   
67.329,   727.524,   596.652,   
189.579,   479.149,   343.402,   
192.829,   479.274,   468.402,   
196.079,   479.399,   593.402,   
187.704,   604.149,   343.402,   
190.954,   604.274,   468.402,   
194.204,   604.399,   593.402,   
185.829,   729.149,   343.402,   
189.079,   729.274,   468.402,   
192.329,   729.399,   593.402,   
314.579,   481.024,   340.152,   
317.829,   481.149,   465.152,   
321.079,   481.274,   590.152,   
312.704,   606.024,   340.152,   
315.954,   606.149,   465.152,   
319.204,   606.274,   590.152,   
310.829,   731.024,   340.152,   
314.079,   731.149,   465.152,   
317.329,   731.274,   590.152,   
92.306,   506.29,   490.352,   
93.431,   502.54,   615.352,   
94.556,   498.79,   740.352,   
93.056,   631.29,   494.102,   
94.181,   627.54,   619.102,   
95.306,   623.79,   744.102,   
93.806,   756.29,   497.852,   
94.931,   752.54,   622.852,   
96.056,   748.79,   747.852,   
217.306,   505.54,   489.227,   
