pa2-a-output-1.txt
EM pivot post est position: 203.488390433,	182.604828237,	190.452382915
Optical pivot post est position: 392.871897637,	390.218877785,	-2809.93987427
340.185,   465.068,   591.317,   
337.435,   587.568,   340.067,   
339.185,   588.818,   465.067,   
340.935,   590.068,   590.067,   
115.657,   362.914,   478.594,   
112.907,   361.789,   603.594,   
110.157,   360.664,   728.594,   
112.657,   487.914,   479.594,   
109.907,   486.789,   604.594,   
107.157,   485.664,   729.594,   
109.657,   612.914,   480.594,   
106.907,   611.789,   605.594,   
104.157,   610.664,   730.594,   
240.532,   365.914,   481.344,   
237.782,   364.789,   606.344,   
235.032,   363.664,   731.344,   
237.532,   490.914,   482.344,   
234.782,   489.789,   607.344,   
232.032,   488.664,   732.344,   
234.532,   615.914,   483.344,   
231.782,   614.789,   608.344,   
229.032,   613.664,   733.344,   
365.407,   368.914,   484.094,   
362.657,   367.789,   609.094,   
359.907,   366.664,   734.094,   
362.407,   493.914,   485.094,   
359.657,   492.789,   610.094,   
356.907,   491.664,   735.094,   
359.407,   618.914,   486.094,   
356.657,   617.789,   611.094,   
353.907,   616.664,   736.094,   
97.157,   345.303,   599.389,   
97.907,   345.803,   724.389,   
98.657,   346.303,   849.389,   
98.657,   470.303,   598.889,   
99.407,   470.803,   723.889,   
100.157,   471.303,   848.889,   
100.157,   595.303,   598.389,   
100.907,   595.803,   723.389,   
101.657,   596.303,   848.389,   
222.157,   343.803,   598.639,   
222.907,   344.303,   723.639,   
223.657,   344.803,   848.639,   
223.657,   468.803,   598.139,   
224.407,   469.303,   723.139,   
225.157,   469.803,   848.139,   
225.157,   593.803,   597.639,   
225.907,   594.303,   722.639,   
226.657,   594.803,   847.639,   
347.157,   342.303,   597.889,   
347.907,   342.803,   722.889,   
348.657,   343.303,   847.889,   
348.657,   467.303,   597.389,   
349.407,   467.803,   722.389,   
350.157,   468.303,   847.389,   
350.157,   592.303,   596.889,   
350.907,   592.803,   721.889,   
351.657,   593.303,   846.889,   
115.329,   490.661,   108.368,   
113.329,   489.411,   233.368,   
111.329,   488.161,   358.368,   
112.954,   615.661,   109.493,   
110.954,   614.411,   234.493,   
108.954,   613.161,   359.493,   
110.579,   740.661,   110.618,   
108.579,   739.411,   235.618,   
106.579,   738.161,   360.618,   
240.329,   492.911,   110.368,   
