pa2-b-output-1.txt
EM pivot post est position: 186.357828086,	197.806664368,	207.435664684
Optical pivot post est position: 390.604403606,	408.679408937,	-2796.00487764
364.81,   450.318,   840.308,   
369.435,   569.443,   587.433,   
368.935,   572.318,   712.433,   
368.435,   575.193,   837.433,   
118.395,   499.233,   108.918,   
116.52,   497.108,   233.918,   
114.645,   494.983,   358.918,   
118.145,   624.233,   111.043,   
116.27,   622.108,   236.043,   
114.395,   619.983,   361.043,   
117.895,   749.233,   113.168,   
116.02,   747.108,   238.168,   
114.145,   744.983,   363.168,   
243.395,   499.483,   110.793,   
241.52,   497.358,   235.793,   
239.645,   495.233,   360.793,   
243.145,   624.483,   112.918,   
241.27,   622.358,   237.918,   
239.395,   620.233,   362.918,   
242.895,   749.483,   115.043,   
241.02,   747.358,   240.043,   
239.145,   745.233,   365.043,   
368.395,   499.733,   112.668,   
366.52,   497.608,   237.668,   
364.645,   495.483,   362.668,   
368.145,   624.733,   114.793,   
366.27,   622.608,   239.793,   
364.395,   620.483,   364.793,   
367.895,   749.733,   116.918,   
366.02,   747.608,   241.918,   
364.145,   745.483,   366.918,   
80.788,   464.607,   220.61,   
81.788,   465.857,   345.61,   
82.788,   467.107,   470.61,   
78.663,   589.607,   219.36,   
79.663,   590.857,   344.36,   
80.663,   592.107,   469.36,   
76.538,   714.607,   218.11,   
77.538,   715.857,   343.11,   
78.538,   717.107,   468.11,   
205.788,   466.732,   219.61,   
206.788,   467.982,   344.61,   
207.788,   469.232,   469.61,   
203.663,   591.732,   218.36,   
204.663,   592.982,   343.36,   
205.663,   594.232,   468.36,   
201.538,   716.732,   217.11,   
202.538,   717.982,   342.11,   
203.538,   719.232,   467.11,   
330.788,   468.857,   218.61,   
331.788,   470.107,   343.61,   
332.788,   471.357,   468.61,   
328.663,   593.857,   217.36,   
329.663,   595.107,   342.36,   
330.663,   596.357,   467.36,   
326.538,   718.857,   216.11,   
327.538,   720.107,   341.11,   
328.538,   721.357,   466.11,   
132.802,   444.65,   340.462,   
130.052,   447.65,   465.337,   
127.302,   450.65,   590.212,   
134.552,   569.65,   337.462,   
131.802,   572.65,   462.337,   
129.052,   575.65,   587.212,   
136.302,   694.65,   334.462,   
133.552,   697.65,   459.337,   
130.802,   700.65,   584.212,   
257.802,   443.025,   343.337,   
255.052,   446.025,   468.212,   
252.302,   449.025,   593.087,   
259.552,   568.025,   340.337,   
256.802,   571.025,   465.212,   
254.052,   574.025,   590.087,   
261.302,   693.025,   337.337,   
258.552,   696.025,   462.212,   
255.802,   699.025,   587.087,   
382.802,   441.4,   346.212,   
380.052,   444.4,   471.087,   
377.302,   447.4,   595.962,   
384.552,   566.4,   343.212,   
381.802,   569.4,   468.087,   
379.052,   572.4,   592.962,   
386.302,   691.4,   340.212,   
383.552,   694.4,   465.087,   
380.802,   697.4,   589.962,   
100.932,   479.758,   479.814,   
101.682,   478.758,   604.814,   
102.432,   477.758,   729.814,   
103.057,   604.758,   480.814,   
103.807,   603.758,   605.814,   
104.557,   602.758,   730.814,   
105.182,   729.758,   481.814,   
105.932,   728.758,   606.814,   
106.682,   727.758,   731.814,   
225.932,   477.633,   479.064,   
226.682,   476.633,   604.064,   
227.432,   475.633,   729.064,   
228.057,   602.633,   480.064,   
228.807,   601.633,   605.064,   
229.557,   600.633,   730.064,   
230.182,   727.633,   481.064,   
230.932,   726.633,   606.064,   
231.682,   725.633,   731.064,   
350.932,   475.508,   478.314,   
351.682,   474.508,   603.314,   
352.432,   473.508,   728.314,   
353.057,   600.508,   479.314,   
353.807,   599.508,   604.314,   
354.557,   598.508,   729.314,   
355.182,   725.508,   480.314,   
355.932,   724.508,   605.314,   
356.682,   723.508,   730.314,   
74.812,   468.09,   595.972,   
77.187,   469.09,   720.972,   
79.562,   470.09,   845.972,   
72.562,   593.09,   594.972,   
74.937,   594.09,   719.972,   
77.312,   595.09,   844.972,   
70.312,   718.09,   593.972,   
72.687,   719.09,   718.972,   
75.062,   720.09,   843.972,   
199.812,   470.34,   593.597,   
202.187,   471.34,   718.597,   
204.562,   472.34,   843.597,   
197.562,   595.34,   592.597,   
199.937,   596.34,   717.597,   
202.312,   597.34,   842.597,   
195.312,   720.34,   591.597,   
197.687,   721.34,   716.597,   
200.062,   722.34,   841.597,   
324.812,   472.59,   591.222,   
327.187,   473.59,   716.222,   
329.562,   474.59,   841.222,   
322.562,   597.59,   590.222,   
324.937,   598.59,   715.222,   
327.312,   599.59,   840.222,   
320.312,   722.59,   589.222,   
322.687,   723.59,   714.222,   
325.062,   724.59,   839.222,   
77.118,   626.865,   111.753,   
78.118,   624.49,   236.753,   
79.118,   622.115,   361.753,   
74.493,   751.865,   114.128,   
75.493,   749.49,   239.128,   
76.493,   747.115,   364.128,   
71.868,   876.865,   116.503,   
72.868,   874.49,   241.503,   
73.868,   872.115,   366.503,   
202.118,   629.49,   110.753,   
203.118,   627.115,   235.753,   
204.118,   624.74,   360.753,   
199.493,   754.49,   113.128,   
200.493,   752.115,   238.128,   
201.493,   749.74,   363.128,   
196.868,   879.49,   115.503,   
197.868,   877.115,   240.503,   
198.868,   874.74,   365.503,   
327.118,   632.115,   109.753,   
328.118,   629.74,   234.753,   
329.118,   627.365,   359.753,   
324.493,   757.115,   112.128,   
325.493,   754.74,   237.128,   
326.493,   752.365,   362.128,   
321.868,   882.115,   114.503,   
322.868,   879.74,   239.503,   
323.868,   877.365,   364.503,   
129.209,   616.363,   236.827,   
126.459,   614.613,   361.827,   
123.709,   612.863,   486.827,   
129.584,   741.363,   238.577,   
126.834,   739.613,   363.577,   
124.084,   737.863,   488.577,   
129.959,   866.363,   240.327,   
127.209,   864.613,   365.327,   
124.459,   862.863,   490.327,   
254.209,   615.988,   239.577,   
251.459,   614.238,   364.577,   
248.709,   612.488,   489.577,   
254.584,   740.988,   241.327,   
251.834,   739.238,   366.327,   
249.084,   737.488,   491.327,   
254.959,   865.988,   243.077,   
252.209,   864.238,   368.077,   
249.459,   862.488,   493.077,   
379.209,   615.613,   242.327,   
376.459,   613.863,   367.327,   
373.709,   612.113,   492.327,   
379.584,   740.613,   244.077,   
376.834,   738.863,   369.077,   
374.084,   737.113,   494.077,   
379.959,   865.613,   245.827,   
377.209,   863.863,   370.827,   
374.459,   862.113,   495.827,   
114.604,   623.993,   361.829,   
114.604,   621.243,   486.829,   
114.604,   618.493,   611.829,   
118.104,   748.868,   364.579,   
118.104,   746.118,   489.579,   
118.104,   743.368,   614.579,   
121.604,   873.743,   367.329,   
121.604,   870.993,   492.329,   
121.604,   868.243,   617.329,   
239.604,   620.493,   361.704,   
239.604,   617.743,   486.704,   
239.604,   614.993,   611.704,   
243.104,   745.368,   364.454,   
243.104,   742.618,   489.454,   
243.104,   739.868,   614.454,   
246.604,   870.243,   367.204,   
246.604,   867.493,   492.204,   
246.604,   864.743,   617.204,   
364.604,   616.993,   361.579,   
364.604,   614.243,   486.579,   
364.604,   611.493,   611.579,   
368.104,   741.868,   364.329,   
368.104,   739.118,   489.329,   
368.104,   736.368,   614.329,   
371.604,   866.743,   367.079,   
371.604,   863.993,   492.079,   
371.604,   861.243,   617.079,   
119.609,   600.742,   477.623,   
119.359,   600.367,   602.623,   
119.109,   599.992,   727.623,   
123.234,   725.742,   477.998,   
122.984,   725.367,   602.998,   
122.734,   724.992,   727.998,   
126.859,   850.742,   478.373,   
126.609,   850.367,   603.373,   
126.359,   849.992,   728.373,   
244.609,   597.117,   477.873,   
244.359,   596.742,   602.873,   
244.109,   596.367,   727.873,   
248.234,   722.117,   478.248,   
